month,method,TP,FP,TN,FN,total,n_mal,n_gw,tpr,fpr,fnr,precision,f1
2016-01,Static,144,33,3397,246,3820,390,3430,0.3692,0.0096,0.6308,0.8136,0.7350407851336704
2016-02,Static,165,36,3947,288,4436,453,3983,0.3642,0.009,0.6358,0.8209,0.7325664958532623
2016-03,Static,212,48,5746,448,6454,660,5794,0.3212,0.0083,0.6788,0.8154,0.7100652587772225
2016-04,Static,202,47,6221,511,6981,713,6268,0.2833,0.0075,0.7167,0.8112,0.6891363446132509
2016-05,Static,162,26,4016,298,4502,460,4042,0.3522,0.0064,0.6478,0.8617,0.7305445497833962
2016-06,Static,111,23,2747,204,3085,315,2770,0.3524,0.0083,0.6476,0.8284,0.7280260953892268
2016-07,Static,147,24,3008,198,3377,345,3032,0.4261,0.0079,0.5739,0.8596,0.7670272362518347
2016-08,Static,194,34,4856,363,5447,557,4890,0.3483,0.007,0.6517,0.8509,0.7269503952914182
2016-09,Static,42,9,1361,114,1526,156,1370,0.2692,0.0066,0.7308,0.8235,0.682555317503356
2016-10,Static,29,5,748,57,839,86,753,0.3372,0.0066,0.6628,0.8529,0.7200882128417541
2016-11,Static,8,2,189,14,213,22,191,0.3636,0.0105,0.6364,0.8,0.7207957436965071
2016-12,Static,1,0,67,7,75,8,67,0.125,0.0,0.875,1.0,0.5862884160756501
2017-01,Static,67,48,4980,505,5600,572,5028,0.1171,0.0095,0.8829,0.5826,0.5699219619892225
2017-02,Static,95,42,4986,477,5600,572,5028,0.1661,0.0084,0.8339,0.6934,0.6088577129722844
2017-03,Static,49,51,4977,523,5600,572,5028,0.0857,0.0101,0.9143,0.49,0.5440727008644707
2017-04,Static,49,98,4930,523,5600,572,5028,0.0857,0.0195,0.9143,0.3333,0.5372786417562536
2017-05,Static,58,71,4957,514,5600,572,5028,0.1014,0.0141,0.8986,0.4496,0.5541969175901159
2017-06,Static,106,40,4988,466,5600,572,5028,0.1853,0.008,0.8147,0.726,0.6224895023052175
2017-07,Static,170,41,4987,402,5600,572,5028,0.2972,0.0082,0.7028,0.8057,0.6950378609178339
2017-08,Static,149,38,4990,423,5600,572,5028,0.2605,0.0076,0.7395,0.7968,0.6733138360885578
2017-09,Static,163,63,4965,409,5600,572,5028,0.285,0.0125,0.715,0.7212,0.6813045415490876
2017-10,Static,168,66,4962,404,5600,572,5028,0.2937,0.0131,0.7063,0.7179,0.6853729133596806
2017-11,Static,152,56,4972,420,5600,572,5028,0.2657,0.0111,0.7343,0.7308,0.6711632811600025
2017-12,Static,150,79,4949,422,5600,572,5028,0.2622,0.0157,0.7378,0.655,0.6626157161613905
2018-01,Static,162,83,4945,410,5600,572,5028,0.2832,0.0165,0.7168,0.6612,0.6745068060912367
2018-02,Static,133,96,4932,439,5600,572,5028,0.2325,0.0191,0.7675,0.5808,0.6408918776051371
2018-03,Static,181,633,4395,391,5600,572,5028,0.3164,0.1259,0.6836,0.2224,0.5807839320297028
2018-04,Static,152,200,4828,420,5600,572,5028,0.2657,0.0398,0.7343,0.4318,0.6347268747663537
2018-05,Static,128,161,4867,444,5600,572,5028,0.2238,0.032,0.7762,0.4429,0.6195174853075314
2018-06,Static,176,47,4981,396,5600,572,5028,0.3077,0.0093,0.6923,0.7892,0.7000756766381766
