month,total,benign,malicious,malicious_rate
2014-01,3815,3439,376,0.09855832241153342
2014-02,3323,3066,257,0.07733975323502859
2014-03,3862,3487,375,0.09709994821336096
2014-04,4573,4099,474,0.103651869669801
2014-05,5673,5081,592,0.10435395734179446
2014-06,6777,6066,711,0.1049136786188579
2014-07,9788,8737,1051,0.10737637923988558
2014-08,5288,4795,493,0.09322995461422087
2014-09,4566,4176,390,0.08541392904073587
2014-10,6933,6348,585,0.08437905668541756
2014-11,1448,1305,143,0.09875690607734806
2014-12,1589,1444,145,0.09125235997482693
2015-01,1705,1564,141,0.08269794721407625
2015-02,1358,1229,129,0.09499263622974963
2015-03,2096,1890,206,0.0982824427480916
2015-04,2018,1838,180,0.08919722497522299
2015-05,2169,1953,216,0.0995850622406639
2015-06,2308,2098,210,0.09098786828422877
2015-07,2788,2521,267,0.09576757532281205
2015-08,3032,2767,265,0.08740105540897097
2015-09,3422,3077,345,0.10081823495032145
2015-10,3238,2930,308,0.09512044471896232
2015-11,3377,3010,367,0.10867633994669826
2015-12,3651,3291,360,0.09860312243221035
2016-01,3815,3477,338,0.08859764089121887
2016-02,4427,3959,468,0.1057149311045855
2016-03,6444,5819,625,0.09698944754810676
2016-04,6971,6369,602,0.08635776789556734
2016-05,4492,4050,442,0.09839715048975957
2016-06,3080,2807,273,0.08863636363636364
2016-07,3371,3025,346,0.10264016612281222
2016-08,5438,4883,555,0.1020595807282089
2016-09,1521,1378,143,0.09401709401709402
2016-10,836,758,78,0.09330143540669857
2016-11,212,190,22,0.10377358490566038
2016-12,75,67,8,0.10666666666666667
2017-01,5590,5000,590,0.10554561717352415
2017-02,5585,5000,585,0.10474485228290063
2017-03,5591,5000,591,0.10570559828295475
2017-04,5590,5000,590,0.10554561717352415
2017-05,5592,5000,592,0.10586552217453506
2017-06,5590,5000,590,0.10554561717352415
2017-07,5590,5000,590,0.10554561717352415
2017-08,5583,5000,583,0.10442414472505822
2017-09,5583,5000,583,0.10442414472505822
2017-10,5585,5000,585,0.10474485228290063
2017-11,5584,5000,584,0.10458452722063037
2017-12,5590,5000,590,0.10554561717352415
2018-01,5586,5000,586,0.10490511994271393
2018-02,5581,5000,581,0.10410320731051782
2018-03,5594,5000,594,0.10618519842688595
2018-04,5587,5000,587,0.10506533023089315
2018-05,5591,5000,591,0.10570559828295475
2018-06,5593,5000,593,0.10602538887895584
2018-07,5587,5000,587,0.10506533023089315
2018-08,5588,5000,588,0.10522548317823908
2018-09,5589,5000,589,0.10538557881553051
2018-10,5546,5000,546,0.09844933285250632
2018-11,5433,5000,433,0.0796981409902448
2018-12,907,850,57,0.06284454244762955
