month,total,malicious,benign,mal_rate
2014-01,3815,376,3439,0.09855832241153342
2014-02,3323,257,3066,0.07733975323502859
2014-03,3862,375,3487,0.09709994821336096
2014-04,4573,474,4099,0.103651869669801
2014-05,5673,592,5081,0.10435395734179446
2014-06,6777,711,6066,0.1049136786188579
2014-07,9788,1051,8737,0.10737637923988558
2014-08,5288,493,4795,0.09322995461422087
2014-09,4566,390,4176,0.08541392904073587
2014-10,6933,585,6348,0.08437905668541756
2014-11,1448,143,1305,0.09875690607734806
2014-12,1589,145,1444,0.09125235997482693
2015-01,1705,141,1564,0.08269794721407625
2015-02,1358,129,1229,0.09499263622974963
2015-03,2096,206,1890,0.0982824427480916
2015-04,2018,180,1838,0.08919722497522299
2015-05,2169,216,1953,0.0995850622406639
2015-06,2308,210,2098,0.09098786828422877
2015-07,2788,267,2521,0.09576757532281205
2015-08,3032,265,2767,0.08740105540897097
2015-09,3422,345,3077,0.10081823495032145
2015-10,3238,308,2930,0.09512044471896232
2015-11,3377,367,3010,0.10867633994669826
2015-12,3651,360,3291,0.09860312243221035
2016-01,3815,338,3477,0.08859764089121887
2016-02,4427,468,3959,0.1057149311045855
2016-03,6444,625,5819,0.09698944754810676
2016-04,6971,602,6369,0.08635776789556734
2016-05,4492,442,4050,0.09839715048975957
2016-06,3080,273,2807,0.08863636363636364
2016-07,3371,346,3025,0.10264016612281222
2016-08,5438,555,4883,0.1020595807282089
2016-09,1521,143,1378,0.09401709401709402
2016-10,836,78,758,0.09330143540669857
2016-11,212,22,190,0.10377358490566038
2016-12,75,8,67,0.10666666666666667
2017-01,5590,590,5000,0.10554561717352415
2017-02,5585,585,5000,0.10474485228290063
2017-03,5591,591,5000,0.10570559828295475
2017-04,5590,590,5000,0.10554561717352415
2017-05,5592,592,5000,0.10586552217453506
2017-06,5590,590,5000,0.10554561717352415
2017-07,5590,590,5000,0.10554561717352415
2017-08,5583,583,5000,0.10442414472505822
2017-09,5583,583,5000,0.10442414472505822
2017-10,5585,585,5000,0.10474485228290063
2017-11,5584,584,5000,0.10458452722063037
2017-12,5590,590,5000,0.10554561717352415
2018-01,5586,586,5000,0.10490511994271393
2018-02,5581,581,5000,0.10410320731051782
2018-03,5594,594,5000,0.10618519842688595
2018-04,5587,587,5000,0.10506533023089315
2018-05,5591,591,5000,0.10570559828295475
2018-06,5593,593,5000,0.10602538887895584
2018-07,5587,587,5000,0.10506533023089315
2018-08,5588,588,5000,0.10522548317823908
2018-09,5589,589,5000,0.10538557881553051
2018-10,5546,546,5000,0.09844933285250632
2018-11,5433,433,5000,0.0796981409902448
2018-12,907,57,850,0.06284454244762955
