month,total,malicious,benign,mal_rate
2014-01,3822,383,3439,0.10020931449502878
2014-02,3329,263,3066,0.07900270351456894
2014-03,3867,380,3487,0.0982673907421774
2014-04,4585,486,4099,0.10599781897491821
2014-05,5689,608,5081,0.10687291263842504
2014-06,6790,724,6066,0.10662739322533137
2014-07,9808,1071,8737,0.10919657422512236
2014-08,5295,500,4795,0.09442870632672333
2014-09,4575,399,4176,0.08721311475409836
2014-10,6939,591,6348,0.0851707738867272
2014-11,1450,145,1305,0.1
2014-12,1591,147,1444,0.09239472030169704
2015-01,1708,144,1564,0.08430913348946135
2015-02,1358,129,1229,0.09499263622974963
2015-03,2105,215,1890,0.1021377672209026
2015-04,2021,183,1838,0.09054923305294409
2015-05,2174,221,1953,0.10165593376264949
2015-06,2314,216,2098,0.09334485738980121
2015-07,2796,275,2521,0.09835479256080114
2015-08,3039,272,2767,0.08950312602829878
2015-09,3431,354,3077,0.1031769163509181
2015-10,3243,313,2930,0.09651557200123342
2015-11,3384,374,3010,0.11052009456264776
2015-12,3660,369,3291,0.10081967213114754
2016-01,3820,343,3477,0.08979057591623037
2016-02,4436,477,3959,0.10752930568079351
2016-03,6454,635,5819,0.09838859621939883
2016-04,6981,612,6369,0.08766652342071336
2016-05,4502,452,4050,0.10039982230119947
2016-06,3085,278,2807,0.09011345218800648
2016-07,3377,352,3025,0.10423452768729642
2016-08,5447,564,4883,0.10354323480815128
2016-09,1526,148,1378,0.09698558322411534
2016-10,839,81,758,0.09654350417163289
2016-11,213,23,190,0.107981220657277
2016-12,75,8,67,0.10666666666666667
2017-01,5600,600,5000,0.10714285714285714
2017-02,5600,600,5000,0.10714285714285714
2017-03,5600,600,5000,0.10714285714285714
2017-04,5600,600,5000,0.10714285714285714
2017-05,5600,600,5000,0.10714285714285714
2017-06,5600,600,5000,0.10714285714285714
2017-07,5600,600,5000,0.10714285714285714
2017-08,5600,600,5000,0.10714285714285714
2017-09,5600,600,5000,0.10714285714285714
2017-10,5600,600,5000,0.10714285714285714
2017-11,5600,600,5000,0.10714285714285714
2017-12,5600,600,5000,0.10714285714285714
2018-01,5600,600,5000,0.10714285714285714
2018-02,5600,600,5000,0.10714285714285714
2018-03,5600,600,5000,0.10714285714285714
2018-04,5600,600,5000,0.10714285714285714
2018-05,5600,600,5000,0.10714285714285714
2018-06,5600,600,5000,0.10714285714285714
2018-07,5600,600,5000,0.10714285714285714
2018-08,5600,600,5000,0.10714285714285714
2018-09,5600,600,5000,0.10714285714285714
2018-10,5558,558,5000,0.10039582583663188
2018-11,5437,437,5000,0.08037520691557844
2018-12,907,57,850,0.06284454244762955
