month,total,unique_ids,same_month_duplicate_ids,same_month_duplicate_rows,label_conflicting_duplicate_ids
2014-01,3822,3822,0,0,0
2014-02,3329,3329,0,0,0
2014-03,3867,3867,0,0,0
2014-04,4585,4585,0,0,0
2014-05,5689,5689,0,0,0
2014-06,6790,6790,0,0,0
2014-07,9808,9808,0,0,0
2014-08,5295,5295,0,0,0
2014-09,4575,4575,0,0,0
2014-10,6939,6939,0,0,0
2014-11,1450,1450,0,0,0
2014-12,1591,1591,0,0,0
2015-01,1708,1708,0,0,0
2015-02,1358,1358,0,0,0
2015-03,2105,2105,0,0,0
2015-04,2021,2021,0,0,0
2015-05,2174,2174,0,0,0
2015-06,2314,2314,0,0,0
2015-07,2796,2796,0,0,0
2015-08,3039,3039,0,0,0
2015-09,3431,3431,0,0,0
2015-10,3243,3243,0,0,0
2015-11,3384,3384,0,0,0
2015-12,3660,3660,0,0,0
2016-01,3820,3820,0,0,0
2016-02,4436,4436,0,0,0
2016-03,6454,6454,0,0,0
2016-04,6981,6981,0,0,0
2016-05,4502,4502,0,0,0
2016-06,3085,3085,0,0,0
2016-07,3377,3377,0,0,0
2016-08,5447,5447,0,0,0
2016-09,1526,1526,0,0,0
2016-10,839,839,0,0,0
2016-11,213,213,0,0,0
2016-12,75,75,0,0,0
2017-01,5600,5600,0,0,0
2017-02,5600,5600,0,0,0
2017-03,5600,5600,0,0,0
2017-04,5600,5600,0,0,0
2017-05,5600,5600,0,0,0
2017-06,5600,5600,0,0,0
2017-07,5600,5600,0,0,0
2017-08,5600,5600,0,0,0
2017-09,5600,5600,0,0,0
2017-10,5600,5600,0,0,0
2017-11,5600,5600,0,0,0
2017-12,5600,5600,0,0,0
2018-01,5600,5600,0,0,0
2018-02,5600,5600,0,0,0
2018-03,5600,5600,0,0,0
2018-04,5600,5600,0,0,0
2018-05,5600,5600,0,0,0
2018-06,5600,5600,0,0,0
2018-07,5600,5600,0,0,0
2018-08,5600,5600,0,0,0
2018-09,5600,5600,0,0,0
2018-10,5558,5558,0,0,0
2018-11,5437,5437,0,0,0
2018-12,907,907,0,0,0
