month,total,unique_ids,same_month_duplicate_ids,same_month_duplicate_rows,label_conflicting_duplicate_ids
2014-01,3815,3815,0,0,0
2014-02,3323,3323,0,0,0
2014-03,3862,3862,0,0,0
2014-04,4573,4573,0,0,0
2014-05,5673,5673,0,0,0
2014-06,6777,6777,0,0,0
2014-07,9788,9788,0,0,0
2014-08,5288,5288,0,0,0
2014-09,4566,4566,0,0,0
2014-10,6933,6933,0,0,0
2014-11,1448,1448,0,0,0
2014-12,1589,1589,0,0,0
2015-01,1705,1705,0,0,0
2015-02,1358,1358,0,0,0
2015-03,2096,2096,0,0,0
2015-04,2018,2018,0,0,0
2015-05,2169,2169,0,0,0
2015-06,2308,2308,0,0,0
2015-07,2788,2788,0,0,0
2015-08,3032,3032,0,0,0
2015-09,3422,3422,0,0,0
2015-10,3238,3238,0,0,0
2015-11,3377,3377,0,0,0
2015-12,3651,3651,0,0,0
2016-01,3815,3815,0,0,0
2016-02,4427,4427,0,0,0
2016-03,6444,6444,0,0,0
2016-04,6971,6971,0,0,0
2016-05,4492,4492,0,0,0
2016-06,3080,3080,0,0,0
2016-07,3371,3371,0,0,0
2016-08,5438,5438,0,0,0
2016-09,1521,1521,0,0,0
2016-10,836,836,0,0,0
2016-11,212,212,0,0,0
2016-12,75,75,0,0,0
2017-01,5590,5590,0,0,0
2017-02,5585,5585,0,0,0
2017-03,5591,5591,0,0,0
2017-04,5590,5590,0,0,0
2017-05,5592,5592,0,0,0
2017-06,5590,5590,0,0,0
2017-07,5590,5590,0,0,0
2017-08,5583,5583,0,0,0
2017-09,5583,5583,0,0,0
2017-10,5585,5585,0,0,0
2017-11,5584,5584,0,0,0
2017-12,5590,5590,0,0,0
2018-01,5586,5586,0,0,0
2018-02,5581,5581,0,0,0
2018-03,5594,5594,0,0,0
2018-04,5587,5587,0,0,0
2018-05,5591,5591,0,0,0
2018-06,5593,5593,0,0,0
2018-07,5587,5587,0,0,0
2018-08,5588,5588,0,0,0
2018-09,5589,5589,0,0,0
2018-10,5546,5546,0,0,0
2018-11,5433,5433,0,0,0
2018-12,907,907,0,0,0
