granularity,dataset_setting,table_group,display_name,method,selection_variant,inspired_by,uses_cluster,periods,total,updated,review_ratio,f1_mean,f1_std,auc_pr_mean,auc_roc_mean,fpr_at_tpr90_mean,mal_rate_selected_mean,time_sec_total
monthly,extended_features_natural,existing_main_baselines,Static,Static,Static,,,36,170257.0,0.0,0.0,0.6559192467139757,0.06826084396761976,0.4926563995374695,0.8212326054348639,0.5464272614480077,,80.64410000000001
monthly,extended_features_natural,existing_main_baselines,PeriodicRetraining,PeriodicRetraining,PeriodicRetraining,,,36,170257.0,2938551.0,17.259501811966615,0.8545729086251108,0.07544765274293518,0.8061663739509508,0.9337903826326328,0.16761500926658768,,1280.3726000000001
monthly,extended_features_natural,existing_main_baselines,FullLabelUpdate,FullLabelUpdate,FullLabelUpdate,,,36,170257.0,170257.0,1.0,0.8873147264917944,0.07917778092242439,0.8514686602753578,0.9542738413232201,0.08351288839132405,,76.40909999999998
monthly,extended_features_natural,existing_main_baselines,RandomSelectiveUpdate,RandomSelectiveUpdate,RandomSelectiveUpdate,,,36,170257.0,51071.0,0.29996417181085067,0.8727363671347695,0.08965852715699842,0.823191119023797,0.9426465178683991,0.12995947052130982,0.10068768754917895,77.2277
monthly,extended_features_natural,existing_main_baselines,UncertaintyOnlyUpdate,UncertaintyOnlyUpdate,UncertaintyOnlyUpdate,,,36,170257.0,51071.0,0.29996417181085067,0.8931062787592272,0.07014095930280856,0.8445001295917194,0.9463090984672426,0.1085844403530593,0.15095385290734759,77.2858
monthly,extended_features_natural,existing_main_baselines,DriftOnlyUpdate,DriftOnlyUpdate,DriftOnlyUpdate,,,36,170257.0,51071.0,0.29996417181085067,0.8688247034232566,0.10291511519590064,0.8230753167623206,0.9390582045392795,0.13942209137172104,0.10068768754917895,77.52220000000001
monthly,extended_features_natural,existing_main_baselines,Proposed,Proposed,Proposed,,,36,170257.0,56651.0,0.3327381546720546,0.8886747911924259,0.06566069917393975,0.8340688854187353,0.9470255641342717,0.1345168182008892,0.1036627525340157,185.4678
monthly,extended_features_natural,selection_criterion_33pct,Cluster-priority (ours),Proposed,Cluster-priority (ours),this work,1.0,36,170257.0,56651.0,0.3327381546720546,0.8886747911924259,0.06566069917393975,0.8340688854187353,0.9470255641342717,0.1345168182008892,0.1036627525340157,185.4678
monthly,extended_features_natural,selection_criterion_33pct,Random selection,Random selection,Random selection,naive baseline,0.0,36,170257.0,56636.0,0.332650052567589,0.877388618656163,0.0735871539004416,0.8257710111074849,0.9456677339439534,0.1315224004868049,0.10354090096470717,94.98
monthly,extended_features_natural,selection_criterion_33pct,Uncertainty-based selection,Uncertainty-based selection,Uncertainty-based selection,classic AL [Chen'23-style],0.0,36,170257.0,56636.0,0.332650052567589,0.8729342105529928,0.07741932447388986,0.8293921477440515,0.9443643541155414,0.13396356074105836,0.144601510841409,95.58309999999999
monthly,extended_features_natural,selection_criterion_33pct,Distance-to-centroid selection,Distance-to-centroid selection,Distance-to-centroid selection,CADE-style drift score [10],0.0,36,170257.0,56636.0,0.332650052567589,0.8543029916836682,0.06960041007329375,0.8049534479450657,0.9401650401731749,0.15067172613269167,0.18431644751298662,97.82679999999999
monthly,extended_features_natural,selection_criterion_33pct,Conformal-rejection-priority,Conformal-rejection-priority,Conformal-rejection-priority,Transcend-style NCM [4],0.0,36,170257.0,56636.0,0.332650052567589,0.8923529509276852,0.07297598877557684,0.8325217315748505,0.9297456555954956,0.18563807336080243,0.13571702223210694,113.3399
monthly,extended_features_natural,noncluster_selective_33pct,RandomSelectiveUpdate,RandomSelectiveUpdate,RandomSelectiveUpdate,,,36,170257.0,56636.0,0.332650052567589,0.877388618656163,0.0735871539004416,0.8257710111074849,0.9456677339439534,0.1315224004868049,0.10354090096470717,95.47260000000001
monthly,extended_features_natural,noncluster_selective_33pct,UncertaintyOnlyUpdate,UncertaintyOnlyUpdate,UncertaintyOnlyUpdate,,,36,170257.0,56636.0,0.332650052567589,0.8729342105529928,0.07741932447388986,0.8293921477440515,0.9443643541155414,0.13396356074105836,0.144601510841409,93.46629999999999
monthly,extended_features_natural,noncluster_selective_33pct,ScoreShiftOnlyUpdate,ScoreShiftOnlyUpdate,ScoreShiftOnlyUpdate,,,36,170257.0,56636.0,0.332650052567589,0.8714832552719067,0.08865576869469802,0.8087010648583318,0.9278569350487013,0.18666101994862613,0.25895397505834,90.19019999999998
