granularity,dataset_setting,table_group,period,display_name,method,selection_variant,inspired_by,uses_cluster,total,updated,review_ratio,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,mal_rate_selected,time_sec,source_file
yearly,androzoo_year_balanced,existing_yearly_baselines,2017,Static,Static,Static,,,10000,0,0.0,0.8090006871533418,0.6364,0.0062,0.2006,0.94027102,0.9513689215414176,,4.7513,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2018,Static,Static,Static,,,6000,0,0.0,0.9005746189022068,0.824,0.0216666666666666,0.0516666666666666,0.9514059444444444,0.9617599974462204,,2.6073,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2019,Static,Static,Static,,,6000,0,0.0,0.4814933570947082,0.9583333333333334,0.833,0.756558533145275,0.5754527777777778,0.7579560703544639,,2.2669,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2020,Static,Static,Static,,,6000,0,0.0,0.4423414436821284,0.959,0.8786666666666667,0.7991596638655463,0.5516041666666667,0.7523530375054652,,2.4428,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2021,Static,Static,Static,,,6000,0,0.0,0.481687202279558,0.9833333333333332,0.843,0.7467168262653898,0.5836091666666667,0.7670932532679817,,3.4166,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2022,Static,Static,Static,,,6000,0,0.0,0.4741573565413016,0.998,0.8573333333333333,0.7080121703853954,0.6056712777777779,0.7764696406649527,,2.2311,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2023,Static,Static,Static,,,6000,0,0.0,0.4250233042971964,0.995,0.9096666666666666,0.786648313833448,0.5618515,0.7591793775214162,,2.1454,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2017,FullUpdate,FullUpdate,FullUpdate,,,10000,10000,1.0,0.8090006871533418,0.6364,0.0062,0.2006,0.94027102,0.9513689215414176,,4.7236,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2018,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.934580305400941,0.971,0.1016666666666666,0.0884647887323943,0.953596,0.9539592651091392,,2.5927,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2019,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.5327955239129664,0.969,0.7743333333333333,0.7743333333333333,0.3145362222222222,0.4520124781850352,,2.2865,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2020,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.92572964766524,0.8656666666666667,0.0136666666666666,0.0296274509803921,0.9583766111111112,0.9708977854170384,,2.4549,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2021,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.9347059646212648,0.8906666666666667,0.021,0.037,0.9599898333333332,0.9628836439250308,,3.4415,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2022,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.8858119879223441,0.989,0.215,0.1194609656777196,0.8777631666666666,0.520727380809502,,2.2437,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2023,FullUpdate,FullUpdate,FullUpdate,,,6000,6000,1.0,0.910958199821583,0.8893333333333333,0.0673333333333333,0.081,0.9278312777777776,0.6868699618761751,,2.1488,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2017,Proposed,Proposed,Proposed,,,10000,3002,0.3002,0.8090006871533418,0.6364,0.0062,0.2006,0.94027102,0.9513689215414176,0.7045303131245836,5.3439,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2018,Proposed,Proposed,Proposed,,,6000,1800,0.3,0.9244597787874814,0.8723333333333333,0.023,0.0255352112676056,0.9654694444444444,0.9694455815376698,0.7594444444444445,3.1884,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2019,Proposed,Proposed,Proposed,,,6000,2698,0.44966666666666666,0.2186464700841101,0.418,0.9326666666666666,0.934,0.1744826111111111,0.4244091110220548,0.4584877687175686,2.8247,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2020,Proposed,Proposed,Proposed,,,6000,2701,0.45016666666666666,0.9248034485238992,0.8556666666666667,0.0053333333333333,0.0505522875816993,0.9672279444444444,0.9767075080891128,0.5923731951129212,2.9889,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2021,Proposed,Proposed,Proposed,,,6000,2699,0.4498333333333333,0.9304810897980442,0.879,0.0176666666666666,0.0516666666666666,0.9627975555555556,0.9725694107421642,0.6472767691737681,4.1221,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2022,Proposed,Proposed,Proposed,,,6000,2700,0.45,0.9407485230734848,0.9786666666666668,0.097,0.0481546247818499,0.9442325,0.5673052569748772,0.595925925925926,2.8802,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_balanced,existing_yearly_baselines,2023,Proposed,Proposed,Proposed,,,6000,2699,0.4498333333333333,0.9244094488188976,0.8663333333333333,0.017,0.0576666666666666,0.9765358888888888,0.9816271859867732,0.595776213412375,2.7797,results/performance/yearly/yearly_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2017,Static,Static,Static,,,5584,0,0.0,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,,3.4713,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2018,Static,Static,Static,,,3314,0,0.0,0.7907216102864718,0.4808917197452229,0.0093333333333333,0.062,0.961991507430998,0.808322148152663,,2.2628,results/performance/yearly/yearly_imbalanced_results.csv
