f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,month,method,updated,total,time_sec,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,perf_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Static,0,5584,3.4713,,,,,,,,,,,,,,,,,,
0.7907216102864718,0.48089171974522293,0.009333333333333334,0.062,0.9619915074309979,0.808322148152663,2018,Static,0,3314,2.2628,,,,,,,,,,,,,,,,,,
0.2607166685085813,0.06109324758842444,0.63,0.735,0.3507293676312969,0.09725510291703834,2019,Static,0,3311,2.4368,,,,,,,,,,,,,,,,,,
0.22777414102692412,0.06666666666666667,0.6913333333333334,0.713,0.295369696969697,0.0934500494376623,2020,Static,0,3330,2.4941,,,,,,,,,,,,,,,,,,
0.31614710525134104,0.3993993993993994,0.6263333333333333,0.642,0.48122872872872874,0.2683574115026428,2021,Static,0,3333,2.5957,,,,,,,,,,,,,,,,,,
0.2545016663828545,0.021148036253776436,0.628,0.6720666666666667,0.33692195367573013,0.0813537251020794,2022,Static,0,3331,2.4306,,,,,,,,,,,,,,,,,,
0.19057114329097172,0.09392265193370165,0.76,0.7862109253065774,0.24708103130755069,0.11006477722349267,2023,Static,0,3362,2.1931,,,,,,,,,,,,,,,,,,
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,FullUpdate,5584,5584,3.2843,,,,,,,,,,,,,,,,,,
0.7798931901973541,0.45222929936305734,0.008,0.02189230769230769,0.9698773885350319,0.8438837365829274,2018,FullUpdate,3314,3314,2.198,,,,,,,,,,,,,,,,,,
0.3217945367932303,0.9710610932475884,0.7273333333333334,0.706,0.3391650589496249,0.11631005608812896,2019,FullUpdate,3311,3311,2.1008,,,,,,,,,,,,,,,,,,
0.9448383820501114,0.8757575757575757,0.007666666666666666,0.06166666666666667,0.9725176767676768,0.9151030444885936,2020,FullUpdate,3330,3330,2.2444,,,,,,,,,,,,,,,,,,
0.8219787633783064,0.5255255255255256,0.004333333333333333,0.06793185840707965,0.9305720720720722,0.7561981445183045,2021,FullUpdate,3333,3333,2.3043,,,,,,,,,,,,,,,,,,
0.9604409736301434,0.9697885196374623,0.013,0.005568224299065421,0.9867165156092649,0.9551961250061756,2022,FullUpdate,3331,3331,2.2641,,,,,,,,,,,,,,,,,,
0.941384315536857,0.8314917127071824,0.0033333333333333335,0.07,0.971762891344383,0.9129712416039526,2023,FullUpdate,3362,3362,2.234,,,,,,,,,,,,,,,,,,
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Proposed,1678,5584,4.0399,21.0,1.0,0.0,0.0863,0.2345,0.1494,0.0886,0.0,0.0,False,False,False,0.3,drift_reg,1.293335,0.180403,-1.112932,0.1901072705601907
0.9231805703925753,0.9363057324840764,0.024666666666666667,0.022943589743589742,0.9794511677282379,0.8740029543369133,2018,Proposed,994,3314,2.5011,22.0,1.0,0.0,0.1422,0.1923,0.1025,0.0039,0.3333,0.0,False,False,False,0.3,drift_reg,0.711045,0.598069,-0.112975,0.22736418511066397
0.22193996326369808,0.9742765273311897,0.8546666666666667,0.85,0.3190948553054662,0.2459526803316258,2019,Proposed,993,3311,2.7487,23.0,1.0,0.0,0.4102,0.7979,0.7754,0.0,0.3333,0.0,True,False,False,0.3,drift_reg,21.134739,0.604076,-20.530663,0.10372608257804633
0.9453194986982136,0.8696969696969697,0.006666666666666667,0.06808333333333333,0.958330303030303,0.9144415221209204,2020,Proposed,1497,3330,2.7531,24.0,1.0,0.0,0.2314,0.3956,0.3285,0.0,0.3333,0.0,True,False,True,0.45,drift_reg,0.498093,1.170268,0.672176,0.14562458249833
0.9278834251485917,0.8648648648648649,0.013666666666666667,0.07966666666666666,0.9546081081081081,0.8829634970163684,2021,Proposed,1499,3333,2.9818,25.0,1.0,0.0,0.1,0.0762,0.0,0.0,0.3333,0.0,False,False,True,0.45,drift_reg,0.661101,0.42381,-0.237291,0.1821214142761841
0.9791742994224322,0.9697885196374623,0.005,0.003402803738317757,0.9866042296072508,0.9647474932793338,2022,Proposed,997,3331,2.9448,28.0,3.0,0.0,0.1291,0.1655,0.0727,0.0,0.3333,0.0,False,False,False,0.3,drift_reg,0.187598,0.114135,-0.073463,0.1905717151454363
0.9395735090161104,0.8259668508287292,0.0033333333333333335,0.06633333333333333,0.9473494475138122,0.8969684282707885,2023,Proposed,1009,3362,2.6658,28.0,1.0,1.0,0.4761,0.3423,0.2692,0.2282,1.0,0.0,True,False,False,0.3,drift_reg,0.525475,0.659265,0.13379,0.17641228939544104
