month,total,benign,malicious,malicious_rate
2014-01,3822,3439,383,0.10020931449502878
2014-02,3329,3066,263,0.07900270351456894
2014-03,3867,3487,380,0.0982673907421774
2014-04,4585,4099,486,0.10599781897491821
2014-05,5689,5081,608,0.10687291263842504
2014-06,6790,6066,724,0.10662739322533137
2014-07,9808,8737,1071,0.10919657422512236
2014-08,5295,4795,500,0.09442870632672333
2014-09,4575,4176,399,0.08721311475409836
2014-10,6939,6348,591,0.0851707738867272
2014-11,1450,1305,145,0.1
2014-12,1591,1444,147,0.09239472030169704
2015-01,1708,1564,144,0.08430913348946135
2015-02,1358,1229,129,0.09499263622974963
2015-03,2105,1890,215,0.1021377672209026
2015-04,2021,1838,183,0.09054923305294409
2015-05,2174,1953,221,0.10165593376264949
2015-06,2314,2098,216,0.09334485738980121
2015-07,2796,2521,275,0.09835479256080114
2015-08,3039,2767,272,0.08950312602829878
2015-09,3431,3077,354,0.1031769163509181
2015-10,3243,2930,313,0.09651557200123342
2015-11,3384,3010,374,0.11052009456264776
2015-12,3660,3291,369,0.10081967213114754
2016-01,3820,3477,343,0.08979057591623037
2016-02,4436,3959,477,0.10752930568079351
2016-03,6454,5819,635,0.09838859621939883
2016-04,6981,6369,612,0.08766652342071336
2016-05,4502,4050,452,0.10039982230119947
2016-06,3085,2807,278,0.09011345218800648
2016-07,3377,3025,352,0.10423452768729642
2016-08,5447,4883,564,0.10354323480815128
2016-09,1526,1378,148,0.09698558322411534
2016-10,839,758,81,0.09654350417163289
2016-11,213,190,23,0.107981220657277
2016-12,75,67,8,0.10666666666666667
2017-01,5600,5000,600,0.10714285714285714
2017-02,5600,5000,600,0.10714285714285714
2017-03,5600,5000,600,0.10714285714285714
2017-04,5600,5000,600,0.10714285714285714
2017-05,5600,5000,600,0.10714285714285714
2017-06,5600,5000,600,0.10714285714285714
2017-07,5600,5000,600,0.10714285714285714
2017-08,5600,5000,600,0.10714285714285714
2017-09,5600,5000,600,0.10714285714285714
2017-10,5600,5000,600,0.10714285714285714
2017-11,5600,5000,600,0.10714285714285714
2017-12,5600,5000,600,0.10714285714285714
2018-01,5600,5000,600,0.10714285714285714
2018-02,5600,5000,600,0.10714285714285714
2018-03,5600,5000,600,0.10714285714285714
2018-04,5600,5000,600,0.10714285714285714
2018-05,5600,5000,600,0.10714285714285714
2018-06,5600,5000,600,0.10714285714285714
2018-07,5600,5000,600,0.10714285714285714
2018-08,5600,5000,600,0.10714285714285714
2018-09,5600,5000,600,0.10714285714285714
2018-10,5558,5000,558,0.10039582583663188
2018-11,5437,5000,437,0.08037520691557844
2018-12,907,850,57,0.06284454244762955
