month,cluster_id,n_samples,n_benign,n_malicious,n_labeled,mal_ratio,age,birth_month,is_new,top_features
2016-01,0,1835,884,36,920,0.0391,1,0,False,interesting_calls::Obfuscation(Base64)(+0.169); interesting_calls::getPackageInfo(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.153); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.152); api_permissions::android_permission_VIBRATE(+0.151); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.149); app_permissions::name='android_permission_INTERNET'(+0.149); interesting_calls::getSystemService(+0.148); api_permissions::android_permission_INTERNET(+0.148); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.147)
2016-01,1,3989,3712,105,3817,0.0275,1,0,False,intents::android_intent_action_MAIN(+0.196); intents::android_intent_category_LAUNCHER(+0.195); interesting_calls::getSystemService(+0.194); api_permissions::android_permission_INTERNET(+0.193); app_permissions::name='android_permission_INTERNET'(+0.191); api_permissions::android_permission_VIBRATE(+0.187); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.183); interesting_calls::getPackageInfo(+0.181); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.175); interesting_calls::printStackTrace(+0.175)
2016-01,2,1812,1787,5,1792,0.0028,1,0,False,intents::android_intent_action_MAIN(+0.210); intents::android_intent_category_LAUNCHER(+0.209); app_permissions::name='android_permission_INTERNET'(+0.208); api_permissions::android_permission_INTERNET(+0.204); interesting_calls::getSystemService(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.194); activities::com_google_ads_AdActivity(+0.192); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.191); api_calls::android/content/ContentResolver;->query(+0.190); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.190)
2016-01,3,5912,5367,398,5765,0.069,1,0,False,urls::http://plus_google_com/(+0.163); interesting_calls::getSystemService(+0.158); api_permissions::android_permission_INTERNET(+0.158); urls::http://schemas_android_com/apk/lib/com_google_android_gms_plus(+0.158); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.158); intents::android_intent_action_MAIN(+0.158); urls::https://www_googleapis_com/auth/games_firstparty(+0.157); urls::https://www_googleapis_com/auth/games(+0.157); intents::android_intent_category_LAUNCHER(+0.157); urls::https://www_googleapis_com/auth/appstate(+0.157)
2016-01,4,1569,1427,3,1430,0.0021,1,0,False,api_permissions::android_permission_WAKE_LOCK(+0.288); interesting_calls::Read/Write External Storage(+0.270); interesting_calls::getSystemService(+0.266); intents::android_intent_action_MAIN(+0.266); intents::android_intent_category_LAUNCHER(+0.265); api_calls::android/os/PowerManager$WakeLock;->acquire(+0.263); api_permissions::android_permission_INTERNET(+0.262); api_calls::android/content/Context;->startActivity(+0.249); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.248); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.248)
2016-01,5,2218,2157,11,2168,0.0051,1,0,False,api_calls::android/app/Activity;->startActivity(+0.239); interesting_calls::printStackTrace(+0.239); intents::android_intent_action_MAIN(+0.237); intents::android_intent_category_LAUNCHER(+0.236); interesting_calls::Read/Write External Storage(+0.234); api_permissions::android_permission_INTERNET(+0.233); api_calls::android/content/ContentResolver;->openInputStream(+0.232); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.220); app_permissions::name='android_permission_INTERNET'(+0.219)
2016-01,6,4489,3764,557,4321,0.1289,1,0,False,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.234); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.208); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.196); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); interesting_calls::getPackageInfo(+0.183)
2016-01,7,6051,5648,231,5879,0.0393,1,0,False,urls::https://www_googletagmanager_com(+0.149); api_permissions::android_permission_READ_CONTACTS(+0.149); urls::http://hostname/?(+0.149); urls::http://www_google_com(+0.147); urls::https://www_googleapis_com/auth/drive_appdata(+0.146); interesting_calls::getSystemService(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.146); urls::https://www_googleapis_com/auth/drive_file(+0.146)
2016-01,8,3950,3746,76,3822,0.0199,1,0,False,intents::android_intent_action_MAIN(+0.246); intents::android_intent_category_LAUNCHER(+0.245); interesting_calls::getSystemService(+0.238); api_permissions::android_permission_INTERNET(+0.235); app_permissions::name='android_permission_INTERNET'(+0.226); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::printStackTrace(+0.214); interesting_calls::Read/Write External Storage(+0.205); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.204); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.199)
2016-01,9,2940,2835,44,2879,0.0153,1,0,False,intents::android_intent_action_MAIN(+0.133); intents::android_intent_category_LAUNCHER(+0.131); interesting_calls::getSystemService(+0.131); api_permissions::android_permission_INTERNET(+0.131); app_permissions::name='android_permission_INTERNET'(+0.130); api_permissions::android_permission_READ_CONTACTS(+0.130); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.129); interesting_calls::getPackageInfo(+0.127); urls::http://twitter4j_org/(+0.127); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.127)
