month,cluster_id,n_members_current_month,cluster_birth_month_index,cluster_age,is_new,drift_detected,drift_applied,n_new_clusters_month,cos_sim_backproj_vs_member_mean,topk_bucket_overlap_vs_member_mean,malicious_rate_current_month,cluster_error_rate_current_month,top_features,analysis_only_full_labels,case_event
2016-01,21,78,0,0,True,False,False,5,0.8754634261131287,0.6666666666666666,0.8461538461538461,0.3717948717948718,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.366); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.281); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.263); interesting_calls::printStackTrace(+0.241); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.220); app_permissions::name='android_permission_INTERNET'(+0.206); intents::android_intent_action_MAIN(+0.196); intents::android_intent_category_LAUNCHER(+0.194); app_permissions::name='android_permission_WAKE_LOCK'(+0.193); interesting_calls::getPackageInfo(+0.167),True,new_cluster
2016-01,23,243,0,0,True,False,False,5,0.9516890048980713,0.6666666666666666,0.09053497942386832,0.12757201646090535,intents::android_intent_action_MAIN(+0.221); intents::android_intent_category_LAUNCHER(+0.220); interesting_calls::getSystemService(+0.216); api_permissions::android_permission_INTERNET(+0.215); app_permissions::name='android_permission_INTERNET'(+0.204); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.202); interesting_calls::Read/Write External Storage(+0.194); interesting_calls::getPackageInfo(+0.191); api_permissions::android_permission_READ_CONTACTS(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.182),True,new_cluster
2016-01,22,91,0,0,True,False,False,5,0.8002287149429321,0.0,0.0,0.0,api_permissions::android_permission_READ_PHONE_STATE(+0.187); api_calls::java/net/Socket(+0.169); api_calls::android/location/LocationManager;->getLastKnownLocation(+0.168); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.162); app_permissions::name='android_permission_WAKE_LOCK'(+0.162); app_permissions::name='com_google_android_c2dm_permission_RECEIVE'(+0.157); providers::com_google_android_providers_gsf_permission_READ_GSERVICES(+0.157); app_permissions::name='com_google_android_providers_gsf_permission_READ_GSERVICES'(+0.157); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.152); api_permissions::android_permission_WAKE_LOCK(+0.152),True,new_cluster
2016-01,20,42,0,0,True,False,False,5,0.8809092044830322,0.42857142857142855,0.0,0.0,interesting_calls::getPackageInfo(+0.136); intents::android_intent_action_MAIN(+0.128); intents::android_intent_category_LAUNCHER(+0.126); interesting_calls::Read/Write External Storage(+0.125); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.125); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.125); app_permissions::name='android_permission_INTERNET'(+0.125); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.124); interesting_calls::getSystemService(+0.122); api_permissions::android_permission_INTERNET(+0.122),True,new_cluster
2016-01,24,37,0,0,True,False,False,5,0.9014579057693481,0.6666666666666666,0.0,0.0,interesting_calls::printStackTrace(+0.162); interesting_calls::getPackageInfo(+0.147); intents::android_intent_action_MAIN(+0.143); intents::android_intent_category_LAUNCHER(+0.143); app_permissions::name='android_permission_INTERNET'(+0.141); interesting_calls::getSystemService(+0.139); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.138); api_permissions::android_permission_INTERNET(+0.138); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.138); interesting_calls::Obfuscation(Base64)(+0.138),True,new_cluster
2016-01,15,299,0,1,False,False,False,5,0.9346563816070557,0.8181818181818182,0.4214046822742475,0.2608695652173913,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.187); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.183); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.182); app_permissions::name='android_permission_INTERNET'(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.181); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); api_permissions::android_permission_INTERNET(+0.173),True,new_cluster
2016-01,6,214,0,1,False,False,False,5,0.9615843296051025,0.8181818181818182,0.3037383177570093,0.22897196261682243,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.234); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.208); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.196); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); interesting_calls::getPackageInfo(+0.183),True,new_cluster
2016-01,10,118,0,1,False,False,False,5,0.9354636073112488,0.5384615384615384,0.11864406779661017,0.1271186440677966,intents::android_intent_action_MAIN(+0.347); intents::android_intent_category_LAUNCHER(+0.345); interesting_calls::getSystemService(+0.304); api_permissions::android_permission_INTERNET(+0.304); app_permissions::name='android_permission_INTERNET'(+0.303); api_calls::android/webkit/WebView(+0.234); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.229); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); activities::_MainActivity(+0.197); interesting_calls::getPackageInfo(+0.191),True,new_cluster
2016-01,16,11,0,1,False,False,False,5,0.7989968657493591,0.1111111111111111,0.09090909090909091,0.09090909090909091,interesting_calls::Obfuscation(Base64)(+0.139); app_permissions::name='android_permission_INTERNET'(+0.137); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.136); interesting_calls::getPackageInfo(+0.136); api_permissions::android_permission_INTERNET(+0.136); intents::android_intent_action_MAIN(+0.135); intents::android_intent_category_LAUNCHER(+0.135); interesting_calls::getSystemService(+0.135); interesting_calls::getDeviceId(+0.135); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.135),True,new_cluster
2016-01,8,164,0,1,False,False,False,5,0.9694350957870483,0.5384615384615384,0.06707317073170732,0.07317073170731707,intents::android_intent_action_MAIN(+0.246); intents::android_intent_category_LAUNCHER(+0.245); interesting_calls::getSystemService(+0.238); api_permissions::android_permission_INTERNET(+0.235); app_permissions::name='android_permission_INTERNET'(+0.226); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::printStackTrace(+0.214); interesting_calls::Read/Write External Storage(+0.205); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.204); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.199),True,new_cluster
2016-02,26,77,1,0,True,True,False,5,0.9349535703659058,0.8181818181818182,0.09090909090909091,0.14285714285714285,intents::android_intent_action_MAIN(+0.162); api_permissions::android_permission_INTERNET(+0.159); intents::android_intent_category_LAUNCHER(+0.158); interesting_calls::getSystemService(+0.158); app_permissions::name='android_permission_INTERNET'(+0.158); api_permissions::android_permission_VIBRATE(+0.158); interesting_calls::Obfuscation(Base64)(+0.157); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.155); api_permissions::android_permission_READ_CONTACTS(+0.154); interesting_calls::Read/Write External Storage(+0.153),True,new_cluster
2016-02,28,38,1,0,True,True,False,5,0.9036792516708374,0.25,0.18421052631578946,0.13157894736842105,api_permissions::android_permission_ACCESS_WIFI_STATE(+0.128); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.126); interesting_calls::Obfuscation(Base64)(+0.126); interesting_calls::getPackageInfo(+0.124); interesting_calls::getDeviceId(+0.122); interesting_calls::HttpPost(+0.122); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.122); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.122); intents::android_intent_category_DEFAULT(+0.122); interesting_calls::Read/Write External Storage(+0.117),True,new_cluster
2016-02,27,15,1,0,True,True,False,5,0.9363061785697937,0.0,0.06666666666666667,0.06666666666666667,api_calls::android/content/ContentResolver;->query(+0.149); api_permissions::android_permission_RECORD_AUDIO(+0.143); api_calls::android/location/LocationManager;->getBestProvider(+0.143); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.141); api_calls::android/telephony/TelephonyManager;->getDeviceId(+0.140); api_calls::android/app/NotificationManager;->notify(+0.139); api_calls::org/apache/http/impl/client/DefaultHttpClient(+0.139); interesting_calls::printStackTrace(+0.137); api_calls::android/content/Context;->startActivity(+0.137); interesting_calls::getDeviceId(+0.136),True,new_cluster
2016-02,29,106,1,0,True,True,False,5,0.8948190212249756,0.8181818181818182,0.02830188679245283,0.03773584905660377,intents::android_intent_action_MAIN(+0.252); intents::android_intent_category_LAUNCHER(+0.251); interesting_calls::getSystemService(+0.244); api_permissions::android_permission_INTERNET(+0.240); app_permissions::name='android_permission_INTERNET'(+0.218); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.210); api_permissions::android_permission_WAKE_LOCK(+0.198); api_permissions::android_permission_READ_CONTACTS(+0.193); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.192),True,new_cluster
2016-02,25,41,1,0,True,True,False,5,0.7423394918441772,0.05263157894736842,0.0,0.0,api_calls::android/telephony/TelephonyManager;->getDeviceId(+0.128); interesting_calls::Obfuscation(Base64)(+0.119); api_permissions::android_permission_MANAGE_ACCOUNTS(+0.115); interesting_calls::getDeviceId(+0.113); api_permissions::android_permission_READ_PHONE_STATE(+0.111); api_calls::android/accounts/AccountManager;->invalidateAuthToken(+0.111); interesting_calls::HttpPost(+0.108); interesting_calls::Read/Write External Storage(+0.101); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.100); api_permissions::android_permission_READ_CONTACTS(+0.100),True,new_cluster
