cluster_id,month,top_feature_jaccard_vs_prev,n_features
0,2016-02,0.8333333333333334,11
0,2016-03,0.75,10
0,2016-04,1.0,10
0,2016-05,1.0,10
0,2016-06,1.0,10
0,2016-07,1.0,10
0,2016-08,1.0,10
0,2016-09,1.0,10
0,2016-10,1.0,10
0,2016-11,1.0,10
0,2016-12,1.0,10
0,2017-01,0.8181818181818182,10
0,2017-02,1.0,10
0,2017-03,1.0,10
0,2017-04,1.0,10
0,2017-05,1.0,10
0,2017-06,1.0,10
0,2017-07,1.0,10
0,2017-08,1.0,10
0,2017-09,1.0,10
0,2017-10,1.0,10
0,2017-11,1.0,10
0,2017-12,1.0,10
0,2018-01,1.0,10
0,2018-02,1.0,10
0,2018-03,1.0,10
0,2018-04,1.0,10
0,2018-05,1.0,10
0,2018-06,1.0,10
0,2018-07,1.0,10
0,2018-08,1.0,10
0,2018-09,1.0,10
0,2018-10,1.0,10
0,2018-11,1.0,10
0,2018-12,1.0,10
1,2016-02,1.0,10
1,2016-03,1.0,10
1,2016-04,0.8181818181818182,10
1,2016-05,1.0,10
1,2016-06,1.0,10
1,2016-07,1.0,10
1,2016-08,1.0,10
1,2016-09,1.0,10
1,2016-10,1.0,10
1,2016-11,1.0,10
1,2016-12,1.0,10
1,2017-01,1.0,10
1,2017-02,1.0,10
1,2017-03,1.0,10
1,2017-04,1.0,10
1,2017-05,1.0,10
1,2017-06,1.0,10
1,2017-07,1.0,10
1,2017-08,1.0,10
1,2017-09,1.0,10
1,2017-10,1.0,10
1,2017-11,1.0,10
1,2017-12,1.0,10
1,2018-01,1.0,10
1,2018-02,1.0,10
1,2018-03,1.0,10
1,2018-04,1.0,10
1,2018-05,1.0,10
1,2018-06,1.0,10
1,2018-07,0.8181818181818182,10
1,2018-08,1.0,10
1,2018-09,1.0,10
1,2018-10,1.0,10
1,2018-11,1.0,10
1,2018-12,1.0,10
2,2016-02,1.0,11
2,2016-03,1.0,11
2,2016-04,1.0,11
2,2016-05,1.0,11
2,2016-06,1.0,11
2,2016-07,1.0,11
2,2016-08,1.0,11
2,2016-09,1.0,11
2,2016-10,1.0,11
2,2016-11,1.0,11
2,2016-12,1.0,11
2,2017-01,1.0,11
2,2017-02,1.0,11
2,2017-03,1.0,11
2,2017-04,1.0,11
2,2017-05,1.0,11
2,2017-06,1.0,11
2,2017-07,1.0,11
2,2017-08,1.0,11
2,2017-09,1.0,11
2,2017-10,1.0,11
2,2017-11,1.0,11
2,2017-12,1.0,11
2,2018-01,1.0,11
2,2018-02,1.0,11
2,2018-03,1.0,11
2,2018-04,1.0,11
2,2018-05,1.0,11
2,2018-06,1.0,11
2,2018-07,1.0,11
2,2018-08,1.0,11
2,2018-09,1.0,11
2,2018-10,1.0,11
2,2018-11,1.0,11
