month,cluster_id,n_samples,n_benign,n_malicious,mal_ratio,age,birth_month,is_new,top_features
2017,0,1565,412,1153,0.7367,1,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.230); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.216); Ljava/io/File;.exists:()Z(-0.210); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.207); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.200); Ljava/io/File;.delete:()Z(+0.192); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.187); Ljava/lang/String;.valueOf:(Ljava/lang/Object;)Ljava/lang/String;(-0.184); Ljava/lang/String;.getBytes:()[B(+0.183); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.181)
2017,1,1330,1043,287,0.2158,1,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.208); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.206); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.202); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.201); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.200); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.196); Ljava/io/File;.exists:()Z(-0.196); Ljava/io/File;.delete:()Z(+0.195); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.193); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.191)
2017,2,1563,391,1172,0.7498,1,0,False,Landroid/location/LocationManager;.getLastKnownLocation:(Ljava/lang/String;)Landroid/location/Location;(-0.090); Ljava/lang/StringBuilder;.append:(D)Ljava/lang/StringBuilder;(+0.089); Ljava/lang/StringBuilder;.append:(F)Ljava/lang/StringBuilder;(+0.088); Ljava/lang/String;.getBytes:()[B(+0.088); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.087); Ljava/io/File;.mkdirs:()Z(+0.087); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.087); Ljava/lang/String;.indexOf:(Ljava/lang/String;)I(+0.087); Landroid/telephony/TelephonyManager;.getNetworkOperator:()Ljava/lang/String;(-0.087); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.087)
2017,3,424,237,187,0.441,1,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.112); Ljava/net/Socket;.getInputStream:()Ljava/io/InputStream;(-0.111); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.111); Ljava/net/Socket;.getOutputStream:()Ljava/io/OutputStream;(+0.110); Landroid/os/Vibrator;.vibrate:(J)V(+0.110); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.110); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.110); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.110); Ljava/io/File;.exists:()Z(-0.110); Ljava/lang/String;.indexOf:(I)I(-0.109)
2017,4,2167,95,2072,0.9562,1,0,False,Ljava/io/FileOutputStream;.write:([BII)V(+0.398); Ljava/io/File;.exists:()Z(-0.359); Ljava/io/File;.mkdir:()Z(+0.340); Ljava/lang/Runtime;.exec:(Ljava/lang/String;)Ljava/lang/Process;(+0.326); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.249); Ljava/io/File;.delete:()Z(+0.242); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.230); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.186); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.180); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.163)
2017,5,861,11,850,0.9872,0,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.117); Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;(-0.116); Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.116); Landroid/webkit/WebViewDatabase;.clearHttpAuthUsernamePassword:()V(+0.116); Ljava/io/FileOutputStream;.write:([BII)V(+0.116); Ljava/net/HttpURLConnection;.setConnectTimeout:(I)V(-0.115); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.115); Ljava/io/File;.exists:()Z(-0.115); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.115); Landroid/content/Intent;.setFlags:(I)Landroid/content/Intent;(+0.114)
2017,6,2196,1710,486,0.2213,1,0,False,Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.125); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.125); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.125); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.125); Ljava/lang/StringBuilder;.append:(Z)Ljava/lang/StringBuilder;(-0.125); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.125); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.125); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.124); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.122); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.122)
2017,7,1647,161,1486,0.9022,1,0,False,Ljava/lang/String;.getBytes:()[B(+0.123); Landroid/telephony/TelephonyManager;.getDeviceId:()Ljava/lang/String;(+0.121); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.121); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.121); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.120); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.120); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.120); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.120); Ljava/io/File;.exists:()Z(-0.120); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.120)
2017,8,1179,642,537,0.4555,1,0,False,Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.174); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.160); Landroid/webkit/WebViewClient;.<init>:()V(-0.160); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.151); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.149); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.148); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.145); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.143); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.140); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.138)
2017,9,3468,2665,803,0.2315,1,0,False,Ljava/io/File;.mkdirs:()Z(+0.099); Ljava/net/HttpURLConnection;.addRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.098); Ldalvik/system/DexClassLoader;.loadClass:(Ljava/lang/String;)Ljava/lang/Class;(-0.098); Landroid/webkit/WebView;.setVisibility:(I)V(-0.097); Ljava/lang/String;.valueOf:(F)Ljava/lang/String;(+0.096); Ljava/io/FileOutputStream;.write:([BII)V(+0.096); Landroid/webkit/WebView;.getContext:()Landroid/content/Context;(-0.096); Ljava/io/File;.exists:()Z(-0.095); Landroid/app/Activity;.startActivity:(Landroid/content/Intent;)V(+0.095); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.094)
