month,cluster_id,n_samples,n_benign,n_malicious,mal_ratio,age,birth_month,is_new,top_features
2017,0,1468,1290,178,0.1213,1,0,False,Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.092); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.092); Ljava/io/FileOutputStream;.write:([BII)V(+0.091); Ljava/lang/StringBuilder;.append:(D)Ljava/lang/StringBuilder;(+0.091); Landroid/content/Context;.getApplicationInfo:()Landroid/content/pm/ApplicationInfo;(+0.091); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.091); Ljava/lang/StringBuilder;.append:(Z)Ljava/lang/StringBuilder;(-0.091); Landroid/content/Intent;.setFlags:(I)Landroid/content/Intent;(+0.091); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.091); Ljava/lang/String;.valueOf:(Ljava/lang/Object;)Ljava/lang/String;(-0.091)
2017,1,1177,1097,80,0.068,1,0,False,Landroid/content/Intent;.setDataAndType:(Landroid/net/Uri;Ljava/lang/String;)Landroid/content/Intent;(-0.121); Ljava/net/HttpURLConnection;.disconnect:()V(+0.120); Landroid/webkit/WebView;.onResume:()V(+0.120); Landroid/webkit/WebView;.onPause:()V(-0.120); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.120); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.119); Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;(-0.119); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.119); Ljava/net/HttpURLConnection;.getResponseCode:()I(-0.119); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.119)
2017,2,478,447,31,0.0649,1,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.233); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.228); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.225); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.220); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.218); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.214); Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.213); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.205); Ljava/io/File;.exists:()Z(-0.205); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.203)
2017,3,917,668,249,0.2715,1,0,False,Ljava/lang/String;.getBytes:()[B(+0.098); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.097); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.097); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.097); Ljava/lang/String;.getBytes:(Ljava/lang/String;)[B(-0.097); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.097); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.096); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.096); Ljava/io/File;.mkdirs:()Z(+0.096); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.096)
2017,4,675,663,12,0.0178,1,0,False,Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.147); Landroid/webkit/WebViewClient;.<init>:()V(-0.145); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.144); Ljavax/crypto/Cipher;.getInstance:(Ljava/lang/String;)Ljavax/crypto/Cipher;(+0.142); Ljavax/crypto/Cipher;.doFinal:([B)[B(+0.142); Landroid/webkit/WebView;.destroy:()V(+0.141); Ljava/net/HttpURLConnection;.setInstanceFollowRedirects:(Z)V(-0.141); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.139); Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.139); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.139)
2017,5,619,495,124,0.2003,1,0,False,Landroid/webkit/WebViewClient;.onReceivedError:(Landroid/webkit/WebView;ILjava/lang/String;Ljava/lang/String;)V(+0.097); Landroid/webkit/WebView;.destroy:()V(+0.097); Ljava/lang/StringBuilder;.append:(F)Ljava/lang/StringBuilder;(+0.097); Landroid/net/NetworkInfo;.isConnected:()Z(-0.097); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.097); Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.096); Ljava/lang/StringBuilder;.append:(D)Ljava/lang/StringBuilder;(+0.096); Ljava/io/FileOutputStream;.write:([BII)V(+0.096); Ljava/net/HttpURLConnection;.getResponseCode:()I(-0.095); Ljava/net/HttpURLConnection;.disconnect:()V(+0.095)
2017,6,1653,1562,91,0.0551,1,0,False,Landroid/webkit/WebViewDatabase;.clearHttpAuthUsernamePassword:()V(+0.106); Ljava/net/HttpURLConnection;.setRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.106); Ljava/net/HttpURLConnection;.disconnect:()V(+0.106); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.106); Landroid/webkit/WebView;.onTouchEvent:(Landroid/view/MotionEvent;)Z(+0.106); Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.105); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.105); Ljava/lang/String;.getBytes:()[B(+0.105); Landroid/os/Handler;.obtainMessage:(ILjava/lang/Object;)Landroid/os/Message;(+0.105); Ljava/net/HttpURLConnection;.getResponseCode:()I(-0.105)
2017,7,511,468,43,0.0841,1,0,False,Ljava/net/HttpURLConnection;.setDoInput:(Z)V(+0.110); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.108); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.105); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.105); Landroid/app/Activity;.startActivity:(Landroid/content/Intent;)V(+0.105); Landroid/webkit/WebViewClient;.<init>:()V(-0.105); Ljava/lang/StringBuilder;.append:(Z)Ljava/lang/StringBuilder;(-0.105); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.105); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.105); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.105)
2017,8,314,253,61,0.1943,1,0,False,Landroid/os/Process;.killProcess:(I)V(+0.175); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.166); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.162); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.160); Landroid/os/Process;.myPid:()I(-0.159); Landroid/media/AudioRecord;.startRecording:()V(-0.159); Landroid/media/AudioRecord;.getMinBufferSize:(III)I(+0.159); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.158); Landroid/media/AudioRecord;.stop:()V(-0.158); Landroid/media/AudioRecord;.release:()V(-0.158)
2017,9,573,433,140,0.2443,1,0,False,Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.226); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.202); Landroid/webkit/WebViewClient;.<init>:()V(-0.199); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.195); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.160); Landroid/webkit/WebView;.setWebChromeClient:(Landroid/webkit/WebChromeClient;)V(-0.158); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.155); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.149); Landroid/webkit/WebView;.goBack:()V(+0.148); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.146)
